Phi,Theta,Phi',Theta',X,Y,Z
-2.356194,+0.000000,+0.816497,+0.816497,-0.707107,-0.000000,-0.707107
-2.276411,+0.088998,+0.776979,+0.970735,-0.645935,-0.057639,-0.761213
-2.201329,+0.195801,+0.721466,+1.174474,-0.578309,-0.114703,-0.807714
-2.132885,+0.325881,+0.642817,+1.437271,-0.504905,-0.170622,-0.846144
-2.073842,+0.485191,+0.531846,+1.756519,-0.426456,-0.224839,-0.876118
-2.027894,+0.677952,+0.379856,+2.095911,-0.343746,-0.276811,-0.897337
-1.999299,+0.902081,+0.185867,+2.364781,-0.257607,-0.326016,-0.909589
-1.991618,+1.144545,-0.034131,+2.446610,-0.168903,-0.371958,-0.912754
-2.005955,+1.383464,-0.249026,+2.297499,-0.078510,-0.414179,-0.906803
-2.040294,+1.598825,-0.430952,+1.994434,+0.012680,-0.452261,-0.891795
-2.090681,+1.781185,-0.569750,+1.654241,+0.103748,-0.485826,-0.867877
-2.152942,+1.930973,-0.669810,+1.350477,+0.193778,-0.514538,-0.835285
-2.223663,+2.053312,-0.740496,+1.106324,+0.281870,-0.538112,-0.794346
-2.300354,+2.154144,-0.790475,+0.918917,+0.367144,-0.556310,-0.745469
-2.381285,+2.238630,-0.826187,+0.777507,+0.448750,-0.568950,-0.689144
-2.465265,+2.310814,-0.852039,+0.671242,+0.525872,-0.575905,-0.625933
-2.551463,+2.373755,-0.870962,+0.591380,+0.597739,-0.577106,-0.556468
-2.639292,+2.429752,-0.884900,+0.531435,+0.663634,-0.572540,-0.481443
-2.728321,+2.480550,-0.895146,+0.486765,+0.722898,-0.562254,-0.401608
-2.818227,+2.527504,-0.902562,+0.454107,+0.774939,-0.546350,-0.317759
-2.908759,+2.571696,-0.907725,+0.431213,+0.819237,-0.524987,-0.230736
-2.999710,+2.614021,-0.911009,+0.416585,+0.855350,-0.498378,-0.141407
-3.090905,+2.655257,-0.912638,+0.409306,+0.882916,-0.466789,-0.050666
-3.182186,+2.696112,-0.912723,+0.408929,+0.901660,-0.430537,+0.040582
-3.273399,+2.737272,-0.911267,+0.415431,+0.911395,-0.389982,+0.131425
-3.364385,+2.779440,-0.908176,+0.429210,+0.912024,-0.345531,+0.220954
-3.454972,+2.823384,-0.903236,+0.451128,+0.903540,-0.297628,+0.308275
-3.544959,+2.869983,-0.896092,+0.482611,+0.886027,-0.246751,+0.392517
-3.634099,+2.920295,-0.886196,+0.525813,+0.859662,-0.193408,+0.472836
-3.722080,+2.975639,-0.872721,+0.583869,+0.824708,-0.138133,+0.548431
-3.808484,+3.037711,-0.854430,+0.661248,+0.781513,-0.081478,+0.618546
-3.892744,+3.108739,-0.829468,+0.764207,+0.730509,-0.024009,+0.682481
-3.974063,+3.191685,-0.795031,+0.901228,+0.672206,+0.033701,+0.739597
-4.051297,+3.290476,-0.746906,+1.082982,+0.607187,+0.091074,+0.789322
-4.122786,+3.410151,-0.678899,+1.320467,+0.536100,+0.147538,+0.831161
-4.186135,+3.556612,-0.582562,+1.618092,+0.459657,+0.202530,+0.864695
-4.238034,+3.735219,-0.448424,+1.956791,+0.378620,+0.255501,+0.889587
-4.274360,+3.947190,-0.271098,+2.269331,+0.293804,+0.305920,+0.905590
-4.291052,+4.184350,-0.058729,+2.440986,+0.206061,+0.353277,+0.912543
-4.285800,+4.427567,+0.162364,+2.384848,+0.116263,+0.397098,+0.910382
-4.259370,+4.654565,+0.360360,+2.131260,+0.025294,+0.436951,+0.899130
-4.215132,+4.851060,+0.517174,+1.794191,-0.065937,+0.472438,+0.878894
-4.157341,+5.013928,+0.632309,+1.470064,-0.156509,+0.503206,+0.849875
-4.089787,+5.146954,+0.714055,+1.200519,-0.245516,+0.528949,+0.812364
-4.015331,+5.256044,+0.771734,+0.990630,-0.332068,+0.549409,+0.766734
-3.935992,+5.346776,+0.812742,+0.831486,-0.415301,+0.564379,+0.713443
-3.853163,+5.423656,+0.842268,+0.711800,-0.494385,+0.573710,+0.653024
-3.767804,+5.490125,+0.863790,+0.621864,-0.568529,+0.577309,+0.586079
-3.680594,+5.548771,+0.879614,+0.554292,-0.636992,+0.575140,+0.513279
-3.592020,+5.601548,+0.891270,+0.503733,-0.699091,+0.567223,+0.435350
-3.502444,+5.649957,+0.899779,+0.466402,-0.754204,+0.553639,+0.353071
-3.412145,+5.695181,+0.905824,+0.439667,-0.801782,+0.534523,+0.267264
-3.321346,+5.738183,+0.909855,+0.421742,-0.841348,+0.510067,+0.178787
-3.230232,+5.779784,+0.912153,+0.411486,-0.872508,+0.480514,+0.088523
-3.138968,+5.820714,+0.912874,+0.408264,-0.894950,+0.446159,-0.002625
-3.047708,+5.861664,+0.912064,+0.411881,-0.908449,+0.407347,-0.093747
-2.956608,+5.903325,+0.909672,+0.422557,-0.912872,+0.364465,-0.183932
-2.865832,+5.946432,+0.905535,+0.440951,-0.908173,+0.317940,-0.272279
-2.775568,+5.991811,+0.899362,+0.468241,-0.894400,+0.268239,-0.357906
-2.686042,+6.040437,+0.890693,+0.506252,-0.871690,+0.215858,-0.439957
-2.597536,+6.093507,+0.878829,+0.557674,-0.840270,+0.161320,-0.517611
-2.510417,+6.152545,+0.862725,+0.626369,-0.800455,+0.105170,-0.590094
-2.425184,+6.219536,+0.840814,+0.717795,-0.752642,+0.047970,-0.656681
-2.342525,+6.297110,+0.810736,+0.839466,-0.697308,-0.009710,-0.716706
