T,Y,Z
+0.000000,+0.000000,+0.250000
+0.001953,+0.024504,+0.248796
+0.003906,+0.048773,+0.245196
+0.005859,+0.072571,+0.239235
+0.007812,+0.095671,+0.230970
+0.009766,+0.117849,+0.220480
+0.011719,+0.138893,+0.207867
+0.013672,+0.158598,+0.193253
+0.015625,+0.176777,+0.176777
+0.017578,+0.193253,+0.158598
+0.019531,+0.207867,+0.138893
+0.021484,+0.220480,+0.117849
+0.023438,+0.230970,+0.095671
+0.025391,+0.239235,+0.072571
+0.027344,+0.245196,+0.048773
+0.029297,+0.248796,+0.024504
+0.031250,+0.250000,+0.000000
+0.033203,+0.248796,-0.024504
+0.035156,+0.245196,-0.048773
+0.037109,+0.239235,-0.072571
+0.039062,+0.230970,-0.095671
+0.041016,+0.220480,-0.117849
+0.042969,+0.207867,-0.138893
+0.044922,+0.193253,-0.158598
+0.046875,+0.176777,-0.176777
+0.048828,+0.158598,-0.193253
+0.050781,+0.138893,-0.207867
+0.052734,+0.117849,-0.220480
+0.054688,+0.095671,-0.230970
+0.056641,+0.072571,-0.239235
+0.058594,+0.048773,-0.245196
+0.060547,+0.024504,-0.248796
+0.062500,+0.000000,-0.250000
+0.064453,-0.024504,-0.248796
+0.066406,-0.048773,-0.245196
+0.068359,-0.072571,-0.239235
+0.070312,-0.095671,-0.230970
+0.072266,-0.117849,-0.220480
+0.074219,-0.138893,-0.207867
+0.076172,-0.158598,-0.193253
+0.078125,-0.176777,-0.176777
+0.080078,-0.193253,-0.158598
+0.082031,-0.207867,-0.138893
+0.083984,-0.220480,-0.117849
+0.085938,-0.230970,-0.095671
+0.087891,-0.239235,-0.072571
+0.089844,-0.245196,-0.048773
+0.091797,-0.248796,-0.024504
+0.093750,-0.250000,-0.000000
+0.095703,-0.248796,+0.024504
+0.097656,-0.245196,+0.048773
+0.099609,-0.239235,+0.072571
+0.101562,-0.230970,+0.095671
+0.103516,-0.220480,+0.117849
+0.105469,-0.207867,+0.138893
+0.107422,-0.193253,+0.158598
+0.109375,-0.176777,+0.176777
+0.111328,-0.158598,+0.193253
+0.113281,-0.138893,+0.207867
+0.115234,-0.117849,+0.220480
+0.117188,-0.095671,+0.230970
+0.119141,-0.072571,+0.239235
+0.121094,-0.048773,+0.245196
+0.123047,-0.024504,+0.248796
+0.125000,-0.000000,+0.250000
+0.126953,+0.024504,+0.248796
+0.128906,+0.048773,+0.245196
+0.130859,+0.072571,+0.239235
+0.132812,+0.095671,+0.230970
+0.134766,+0.117849,+0.220480
+0.136719,+0.138893,+0.207867
+0.138672,+0.158598,+0.193253
+0.140625,+0.176777,+0.176777
+0.142578,+0.193253,+0.158598
+0.144531,+0.207867,+0.138893
+0.146484,+0.220480,+0.117849
+0.148438,+0.230970,+0.095671
+0.150391,+0.239235,+0.072571
+0.152344,+0.245196,+0.048773
+0.154297,+0.248796,+0.024504
+0.156250,+0.250000,+0.000000
+0.158203,+0.248796,-0.024504
+0.160156,+0.245196,-0.048773
+0.162109,+0.239235,-0.072571
+0.164062,+0.230970,-0.095671
+0.166016,+0.220480,-0.117849
+0.167969,+0.207867,-0.138893
+0.169922,+0.193253,-0.158598
+0.171875,+0.176777,-0.176777
+0.173828,+0.158598,-0.193253
+0.175781,+0.138893,-0.207867
+0.177734,+0.117849,-0.220480
+0.179688,+0.095671,-0.230970
+0.181641,+0.072571,-0.239235
+0.183594,+0.048773,-0.245196
+0.185547,+0.024504,-0.248796
+0.187500,+0.000000,-0.250000
+0.189453,-0.024504,-0.248796
+0.191406,-0.048773,-0.245196
+0.193359,-0.072571,-0.239235
+0.195312,-0.095671,-0.230970
+0.197266,-0.117849,-0.220480
+0.199219,-0.138893,-0.207867
+0.201172,-0.158598,-0.193253
+0.203125,-0.176777,-0.176777
+0.205078,-0.193253,-0.158598
+0.207031,-0.207867,-0.138893
+0.208984,-0.220480,-0.117849
+0.210938,-0.230970,-0.095671
+0.212891,-0.239235,-0.072571
+0.214844,-0.245196,-0.048773
+0.216797,-0.248796,-0.024504
+0.218750,-0.250000,-0.000000
+0.220703,-0.248796,+0.024504
+0.222656,-0.245196,+0.048773
+0.224609,-0.239235,+0.072571
+0.226562,-0.230970,+0.095671
+0.228516,-0.220480,+0.117849
+0.230469,-0.207867,+0.138893
+0.232422,-0.193253,+0.158598
+0.234375,-0.176777,+0.176777
+0.236328,-0.158598,+0.193253
+0.238281,-0.138893,+0.207867
+0.240234,-0.117849,+0.220480
+0.242188,-0.095671,+0.230970
+0.244141,-0.072571,+0.239235
+0.246094,-0.048773,+0.245196
+0.248047,-0.024504,+0.248796
+0.250000,-0.000000,+0.250000
+0.251953,+0.024504,+0.248796
+0.253906,+0.048773,+0.245196
+0.255859,+0.072571,+0.239235
+0.257812,+0.095671,+0.230970
+0.259766,+0.117849,+0.220480
+0.261719,+0.138893,+0.207867
+0.263672,+0.158598,+0.193253
+0.265625,+0.176777,+0.176777
+0.267578,+0.193253,+0.158598
+0.269531,+0.207867,+0.138893
+0.271484,+0.220480,+0.117849
+0.273438,+0.230970,+0.095671
+0.275391,+0.239235,+0.072571
+0.277344,+0.245196,+0.048773
+0.279297,+0.248796,+0.024504
+0.281250,+0.250000,+0.000000
+0.283203,+0.248796,-0.024504
+0.285156,+0.245196,-0.048773
+0.287109,+0.239235,-0.072571
+0.289062,+0.230970,-0.095671
+0.291016,+0.220480,-0.117849
+0.292969,+0.207867,-0.138893
+0.294922,+0.193253,-0.158598
+0.296875,+0.176777,-0.176777
+0.298828,+0.158598,-0.193253
+0.300781,+0.138893,-0.207867
+0.302734,+0.117849,-0.220480
+0.304688,+0.095671,-0.230970
+0.306641,+0.072571,-0.239235
+0.308594,+0.048773,-0.245196
+0.310547,+0.024504,-0.248796
+0.312500,+0.000000,-0.250000
+0.314453,-0.024504,-0.248796
+0.316406,-0.048773,-0.245196
+0.318359,-0.072571,-0.239235
+0.320312,-0.095671,-0.230970
+0.322266,-0.117849,-0.220480
+0.324219,-0.138893,-0.207867
+0.326172,-0.158598,-0.193253
+0.328125,-0.176777,-0.176777
+0.330078,-0.193253,-0.158598
+0.332031,-0.207867,-0.138893
+0.333984,-0.220480,-0.117849
+0.335938,-0.230970,-0.095671
+0.337891,-0.239235,-0.072571
+0.339844,-0.245196,-0.048773
+0.341797,-0.248796,-0.024504
+0.343750,-0.250000,-0.000000
+0.345703,-0.248796,+0.024504
+0.347656,-0.245196,+0.048773
+0.349609,-0.239235,+0.072571
+0.351562,-0.230970,+0.095671
+0.353516,-0.220480,+0.117849
+0.355469,-0.207867,+0.138893
+0.357422,-0.193253,+0.158598
+0.359375,-0.176777,+0.176777
+0.361328,-0.158598,+0.193253
+0.363281,-0.138893,+0.207867
